Label,Name,TargetEmo,ComparisonEmo,PercentageCorrect,PercentageFalse,Distance,Ttest,Label1,Label2,Soundtrack,Level,Trials
happy anger,23,8.2089552238806,1.04477611940298,1,0,44.7779330824821,44.7779330824821,2,1,Shallow Grave,1,1
happy sad,23,8.2089552238806,1.1044776119403,1,0,42.3799770523813,42.3799770523813,2,3,Shallow Grave,1,2
happy tender,23,8.2089552238806,1.44776119402985,1,0,33.8731487569371,33.8731487569371,2,4,Shallow Grave,1,3
happy anger,21,6.62686567164179,1,1,0,29.4278810762533,29.4278810762533,2,1,The Rainmaker,1,4
happy anger,105,7.85106382978723,1,1,0,29.0852132109684,29.0852132109684,2,1,Pride & Prejudice,2,5
happy anger,71,6.8936170212766,1.02127659574468,1,0,27.1378713337954,27.1378713337954,2,1,The Untouchables,2,6
happy sad,105,7.85106382978723,1.19148936170213,1,0,27.1007043212284,27.1007043212284,2,3,Pride & Prejudice,2,7
happy sad,21,6.62686567164179,1.11940298507463,1,0,27.0917259297314,27.0917259297314,2,3,The Rainmaker,2,8
happy sad,71,6.8936170212766,1.1063829787234,1,0,26.9262750175914,26.9262750175914,2,3,The Untouchables,3,9
sad anger,33,7.17910447761194,1.07462686567164,1,0,26.8679624613815,26.8679624613815,3,1,The Portait of a Lady,1,10
sad happy,33,7.17910447761194,1.11940298507463,0.985074626865672,0,26.243662187544,26.243662187544,3,2,The Portait of a Lady,1,11
happy tender,105,7.85106382978723,1.4468085106383,1,0,24.0490697829327,24.0490697829327,2,4,Pride & Prejudice,3,12
happy sad,24,6.94029850746269,1.08955223880597,0.985074626865672,0,23.8322993985821,23.8322993985821,2,3,Man of Galilee CD1,3,13
happy anger,25,6.28358208955224,1.08955223880597,0.985074626865672,0,23.3673971746387,23.3673971746387,2,1,Oliwer Twist,3,14
sad happy,109,7,1.02127659574468,1,0,23.2488030925916,23.2488030925916,3,2,Pride & Prejudice,1,15
happy anger,27,6.26865671641791,1.08955223880597,0.985074626865672,0,22.9167631507353,22.9167631507353,2,1,Oliwer Twist,4,16
tender anger,41,6.65671641791045,1.01492537313433,0.985074626865672,0,22.8573124251724,22.8573124251724,4,1,Shine,1,17
happy tender,24,6.94029850746269,1.26865671641791,0.970149253731343,0,22.1940993113552,22.1940993113552,2,4,Man of Galilee CD1,4,18
happy sad,22,6.80597014925373,1.29850746268657,1,0,21.627785065067,21.627785065067,2,3,Batman,4,19
happy anger,22,6.80597014925373,1.32835820895522,1,0,21.5871035683276,21.5871035683276,2,1,Batman,4,20
sad anger,109,7,1.12765957446809,0.978723404255319,0,21.5035764577677,21.5035764577677,3,1,Pride & Prejudice,1,21
sad anger,81,6.38297872340426,1,1,0,20.7781678226093,20.7781678226093,3,1,Juha,1,22
happy anger,24,6.94029850746269,1.26865671641791,0.955223880597015,0,20.4307159828315,20.4307159828315,2,1,Man of Galilee CD1,5,23
anger tender,3,6.3134328358209,1.01492537313433,0.925373134328358,0,20.4095315567356,20.4095315567356,1,4,The Alien Trilogy,1,24
anger happy,92,6.46808510638298,1.02127659574468,1,0,19.921700336228,19.921700336228,1,2,The Fifth Element,1,25
anger tender,92,6.46808510638298,1,1,0,19.8717423757478,19.8717423757478,1,4,The Fifth Element,1,26
tender anger,42,6.05970149253731,1,0.970149253731343,0,19.7657889260137,19.7657889260137,4,1,Pride & Prejudice,1,27
happy tender,22,6.80597014925373,1.50746268656716,1,0,19.6955301346465,19.6955301346465,2,4,Batman,5,28
anger tender,1,6.38805970149254,1.01492537313433,0.955223880597015,0,19.6192723911589,19.6192723911589,1,4,Lethal weapon 3,1,29
sad anger,31,6.77611940298507,1.1044776119403,0.925373134328358,0,19.5867457390616,19.5867457390616,3,1,The English Patient,1,30
sad anger,84,6.17021276595745,1.04255319148936,1,0,19.3875195541507,19.3875195541507,3,1,Blanc,2,31
sad happy,84,6.17021276595745,1.04255319148936,1,0,19.2605817235882,19.2605817235882,3,2,Blanc,2,32
sad happy,81,6.38297872340426,1.12765957446809,1,0,19.1433609504029,19.1433609504029,3,2,Juha,2,33
happy sad,25,6.28358208955224,1.58208955223881,0.955223880597015,0,19.0256381242737,19.0256381242737,2,3,Oliwer Twist,5,34
anger tender,5,6.13432835820895,1.07462686567164,0.970149253731343,0,18.8157435906955,18.8157435906955,1,4,The Fifth Element,1,35
happy tender,71,6.8936170212766,1.78723404255319,0.978723404255319,0,18.7433361268659,18.7433361268659,2,4,The Untouchables,5,36
tender anger,106,6.57446808510638,1,0.978723404255319,0,18.7309132481871,18.7309132481871,4,1,Lethal weapon 3,1,37
anger happy,5,6.13432835820895,1.07462686567164,0.955223880597015,0.0149253731343284,18.3619590411618,18.3619590411618,1,2,The Fifth Element,2,38
sad anger,34,6.11940298507463,1.13432835820896,0.940298507462687,0,18.3323047608732,18.3323047608732,3,1,Big Fish,2,39
anger happy,1,6.38805970149254,1.2089552238806,0.940298507462687,0.0149253731343284,18.1552752410758,18.1552752410758,1,2,Lethal weapon 3,2,40
sad happy,31,6.77611940298507,1.25373134328358,0.940298507462687,0.0149253731343284,17.4138463847653,17.4138463847653,3,2,The English Patient,2,41
happy sad,79,6.59574468085106,1.02127659574468,0.978723404255319,0,17.3381537812499,17.3381537812499,2,3,Batman,6,42
anger happy,3,6.3134328358209,1.3134328358209,0.91044776119403,0.0149253731343284,17.1468935217668,17.1468935217668,1,2,The Alien Trilogy,2,43
sad anger,50,5.28358208955224,1.01492537313433,0.91044776119403,0,16.5222342103292,16.5222342103292,3,1,Oliwer Twist,2,44
happy anger,73,6.36170212765957,1.04255319148936,0.936170212765957,0.0212765957446809,16.517329305738,16.517329305738,2,1,Shine,6,45
tender anger,28,5.34328358208955,1.01492537313433,0.955223880597015,0,16.4331867079108,16.4331867079108,4,1,Grizzly Man,2,46
tender anger,39,5.08955223880597,1.05970149253731,0.955223880597015,0,16.2503060851018,16.2503060851018,4,1,Shakespeare In Love,2,47
happy tender,79,6.59574468085106,1.19148936170213,0.957446808510638,0,16.2433266743892,16.2433266743892,2,4,Batman,6,48
happy tender,21,6.62686567164179,2.19402985074627,0.955223880597015,0.0298507462686567,16.2158459087581,16.2158459087581,2,4,The Rainmaker,6,49
tender anger,44,5.47761194029851,1.01492537313433,0.91044776119403,0,16.0315727559186,16.0315727559186,4,1,Pride & Prejudice,2,50
anger sad,3,6.3134328358209,1.55223880597015,0.895522388059702,0.0149253731343284,15.8269797051773,15.8269797051773,1,3,The Alien Trilogy,2,51
tender anger,49,5.11940298507463,1,0.940298507462687,0,15.7358514633494,15.7358514633494,4,1,Juha,2,52
sad happy,88,5.65957446808511,1,1,0,15.613445119777,15.613445119777,3,2,Blanc,3,53
anger happy,69,6.38297872340426,1,0.957446808510638,0,15.6096828266208,15.6096828266208,1,2,Hellraiser,2,54
tender anger,43,5.73134328358209,1.02985074626866,0.925373134328358,0,15.5538674534507,15.5538674534507,4,1,Dances with Wolves,3,55
anger tender,2,5.76119402985075,1.1044776119403,0.895522388059702,0,15.4618126048921,15.4618126048921,1,4,The Rainmaker,3,56
anger sad,1,6.38805970149254,1.74626865671642,0.925373134328358,0.0447761194029851,15.4450494194582,15.4450494194582,1,3,Lethal weapon 3,3,57
sad anger,40,5.32835820895522,1.01492537313433,0.940298507462687,0,15.4110503838528,15.4110503838528,3,1,The English Patient,3,58
tender anger,29,5.3134328358209,1,0.940298507462687,0,15.3667552159534,15.3667552159534,4,1,The Portait of a Lady,3,59
anger tender,69,6.38297872340426,1.02127659574468,0.957446808510638,0,15.3189735673384,15.3189735673384,1,4,Hellraiser,3,60
tender anger,47,5.38805970149254,1.02985074626866,0.925373134328358,0,15.2027856646894,15.2027856646894,4,1,Oliwer Twist,3,61
tender anger,107,5.8936170212766,1,0.957446808510638,0,15.0537622249135,15.0537622249135,4,1,The Godfarher,4,62
anger happy,2,5.76119402985075,1.08955223880597,0.895522388059702,0.0149253731343284,14.967631905237,14.967631905237,1,2,The Rainmaker,3,63
happy sad,27,6.26865671641791,1.67164179104478,0.895522388059702,0.0298507462686567,14.8787903817705,14.8787903817705,2,3,Oliwer Twist,7,64
happy sad,73,6.36170212765957,1.17021276595745,0.936170212765957,0.0212765957446809,14.7652004633252,14.7652004633252,2,3,Shine,7,65
anger tender,4,5.41791044776119,1.05970149253731,0.925373134328358,0.0149253731343284,14.6489113597853,14.6489113597853,1,4,Cape Fear,3,66
sad anger,88,5.65957446808511,1.19148936170213,0.978723404255319,0,14.6283061826088,14.6283061826088,3,1,Blanc,3,67
happy anger,79,6.59574468085106,1.25531914893617,0.957446808510638,0.0425531914893617,14.3232982880913,14.3232982880913,2,1,Batman,7,68
sad happy,87,5.59574468085106,1,0.978723404255319,0,14.1731285869544,14.1731285869544,3,2,Road To Perdition,3,69
sad anger,36,5.2089552238806,1.1044776119403,0.940298507462687,0,13.8874505523474,13.8874505523474,3,1,Angel Heart,3,70
anger sad,92,6.46808510638298,1.65957446808511,0.978723404255319,0,13.8853479812586,13.8853479812586,1,3,The Fifth Element,4,71
sad happy,34,6.11940298507463,1.40298507462687,0.925373134328358,0.0447761194029851,13.8660037452566,13.8660037452566,3,2,Big Fish,3,72
sad anger,104,5.59574468085106,1.08510638297872,0.957446808510638,0,13.7771999189089,13.7771999189089,3,1,Crouching Tiger,3,73
sad happy,90,5,1,0.957446808510638,0,13.7113092008021,13.7113092008021,3,2,Batman Returns,4,74
tender anger,30,4.70149253731343,1.02985074626866,0.880597014925373,0.0149253731343284,13.5065527168162,13.5065527168162,4,1,Nostradamus,4,75
happy sad,55,5.59574468085106,1.17021276595745,0.914893617021277,0,13.4666562008812,13.4666562008812,2,3,Dances with Wolves,7,76
sad happy,32,5.14925373134328,1.08955223880597,0.880597014925373,0.0149253731343284,13.3690492844529,13.3690492844529,3,2,Running Scared,4,77
sad anger,108,5.12765957446809,1.02127659574468,0.957446808510638,0,13.352867237996,13.352867237996,3,1,Gladiator,4,78
happy anger,26,4.65671641791045,1.04477611940298,0.850746268656716,0,13.2236668036922,13.2236668036922,2,1,The Omen,8,79
happy tender,25,6.28358208955224,2.22388059701493,0.91044776119403,0.0597014925373134,13.2080718442745,13.2080718442745,2,4,Oliwer Twist,8,80
happy anger,56,5.1063829787234,1.1063829787234,0.957446808510638,0.0212765957446809,13.1514257782189,13.1514257782189,2,1,Man of Galilee CD1,8,81
sad anger,46,4.80597014925373,1.04477611940298,0.895522388059702,0,13.1423615905855,13.1423615905855,3,1,Batman,4,82
anger happy,4,5.41791044776119,1.19402985074627,0.91044776119403,0.0298507462686567,12.9334641017357,12.9334641017357,1,2,Cape Fear,4,83
happy tender,27,6.26865671641791,2.29850746268657,0.925373134328358,0.0298507462686567,12.8831607796659,12.8831607796659,2,4,Oliwer Twist,8,84
sad happy,108,5.12765957446809,1.17021276595745,0.957446808510638,0,12.7614531641352,12.7614531641352,3,2,Gladiator,4,85
sad tender,8,5.14925373134328,1.37313432835821,0.865671641791045,0.0149253731343284,12.228783686143,12.228783686143,3,4,Man of Galilee CD1,4,86
anger sad,2,5.76119402985075,1.59701492537313,0.850746268656716,0.0298507462686567,12.2235674121428,12.2235674121428,1,3,The Rainmaker,4,87
anger tender,93,5.51063829787234,1,0.893617021276596,0,12.1140707371207,12.1140707371207,1,4,Babylon 5,4,88
sad happy,8,5.14925373134328,1.19402985074627,0.865671641791045,0.0298507462686567,12.0191453681045,12.0191453681045,3,2,Man of Galilee CD1,5,89
tender anger,48,4.43283582089552,1.05970149253731,0.865671641791045,0,11.995346545222,11.995346545222,4,1,Dracula,4,90
sad tender,33,7.17910447761194,3.02985074626866,0.895522388059702,0.0597014925373134,11.9793599222098,11.9793599222098,3,4,The Portait of a Lady,5,91
happy anger,77,4.53191489361702,1.04255319148936,0.936170212765957,0.0212765957446809,11.9692364662106,11.9692364662106,2,1,Lethal weapon 3,8,92
tender anger,45,4.3134328358209,1,0.850746268656716,0,11.9421175034624,11.9421175034624,4,1,Oliwer Twist,4,93
tender anger,51,4.95744680851064,1,0.872340425531915,0,11.8307323067057,11.8307323067057,4,1,Juha,5,94
anger tender,9,4.13432835820895,1,0.835820895522388,0,11.8038054406942,11.8038054406942,1,4,The Untouchables,4,95
happy tender,73,6.36170212765957,2.12765957446809,0.914893617021277,0,11.756398186979,11.756398186979,2,4,Shine,9,96
anger happy,93,5.51063829787234,1.06382978723404,0.893617021276596,0,11.750703252907,11.750703252907,1,2,Babylon 5,5,97
tender happy,39,5.08955223880597,2,0.865671641791045,0.0447761194029851,11.7167915353776,11.7167915353776,4,2,Shakespeare In Love,5,98
anger tender,7,4.64179104477612,1.04477611940298,0.82089552238806,0.0149253731343284,11.6977260990233,11.6977260990233,1,4,Batman Returns,5,99
sad anger,37,4.17910447761194,1.16417910447761,0.865671641791045,0,11.6337204540584,11.6337204540584,3,1,Batman,5,100
anger sad,69,6.38297872340426,1.82978723404255,0.872340425531915,0.0212765957446809,11.4881219198334,11.4881219198334,1,3,Hellraiser,5,101
sad happy,104,5.59574468085106,1.31914893617021,0.936170212765957,0.0425531914893617,11.4538463934424,11.4538463934424,3,2,Crouching Tiger,5,102
sad happy,89,4.93617021276596,1.04255319148936,0.914893617021277,0,11.4394430051954,11.4394430051954,3,2,Blanc,5,103
happy tender,55,5.59574468085106,1.95744680851064,0.872340425531915,0.0212765957446809,11.4354106851657,11.4354106851657,2,4,Dances with Wolves,9,104
sad anger,58,5.06382978723404,1.06382978723404,0.872340425531915,0,11.3611014811801,11.3611014811801,3,1,Vertigo OST,5,105
sad anger,89,4.93617021276596,1.08510638297872,0.893617021276596,0,11.1489643526468,11.1489643526468,3,1,Blanc,6,106
anger happy,10,4.41791044776119,1.04477611940298,0.82089552238806,0,11.1093271045075,11.1093271045075,1,2,Oliwer Twist,5,107
sad tender,87,5.59574468085106,1.80851063829787,0.914893617021277,0.0212765957446809,11.0958288776843,11.0958288776843,3,4,Road To Perdition,6,108
tender sad,106,6.57446808510638,2.4468085106383,0.914893617021277,0.0425531914893617,11.0215516174508,11.0215516174508,4,3,Lethal weapon 3,5,109
tender anger,52,4.61702127659574,1,0.893617021276596,0,11.0154393954506,11.0154393954506,4,1,Blanc,6,110
anger tender,10,4.41791044776119,1.07462686567164,0.82089552238806,0,10.9649455971693,10.9649455971693,1,4,Oliwer Twist,5,111
happy anger,53,4.78723404255319,1,0.872340425531915,0,10.9237049252647,10.9237049252647,2,1,Gladiator,9,112
sad happy,36,5.2089552238806,1.34328358208955,0.895522388059702,0.0895522388059701,10.7314263059863,10.7314263059863,3,2,Angel Heart,6,113
sad happy,50,5.28358208955224,1.64179104477612,0.850746268656716,0.0597014925373134,10.7298499818438,10.7298499818438,3,2,Oliwer Twist,6,114
tender anger,54,5.25531914893617,1,0.872340425531915,0,10.653458390229,10.653458390229,4,1,Pride & Prejudice,6,115
anger tender,18,4.41791044776119,1.1044776119403,0.805970149253731,0.0447761194029851,10.3819686977322,10.3819686977322,1,4,The Fifth Element,6,116
sad happy,99,4.8936170212766,1.1063829787234,0.872340425531915,0.0212765957446809,10.3788687476956,10.3788687476956,3,2,Dracula,6,117
sad anger,90,5,1.40425531914894,0.914893617021277,0.0212765957446809,10.225902712145,10.225902712145,3,1,Batman Returns,6,118
tender anger,110,4.85106382978723,1,0.893617021276596,0,10.2038298141866,10.2038298141866,4,1,Big Fish,6,119
sad happy,35,5.73134328358209,1.65671641791045,0.880597014925373,0.0597014925373134,10.1075404696577,10.1075404696577,3,2,Man of Galilee CD1,6,120
tender sad,42,6.05970149253731,2.49253731343284,0.850746268656716,0.0895522388059701,10.0740047264531,10.0740047264531,4,3,Pride & Prejudice,6,121
sad anger,87,5.59574468085106,1.59574468085106,0.872340425531915,0.106382978723404,10.0278681450687,10.0278681450687,3,1,Road To Perdition,7,122
anger happy,18,4.41791044776119,1.2089552238806,0.791044776119403,0.0447761194029851,10.0030333215158,10.0030333215158,1,2,The Fifth Element,6,123
sad tender,109,7,3.46808510638298,0.893617021276596,0,9.96303268890649,9.96303268890649,3,4,Pride & Prejudice,7,124
sad anger,38,4.07462686567164,1.08955223880597,0.850746268656716,0.0149253731343284,9.93770812587852,9.93770812587852,3,1,Dracula,7,125
tender sad,41,6.65671641791045,3.01492537313433,0.82089552238806,0.104477611940299,9.76213015171137,9.76213015171137,4,3,Shine,7,126
sad anger,78,4.85106382978723,1.23404255319149,0.872340425531915,0.0212765957446809,9.75714855200745,9.75714855200745,3,1,Crouching Tiger,7,127
sad happy,38,4.07462686567164,1.14925373134328,0.850746268656716,0.0149253731343284,9.64700721475002,9.64700721475002,3,2,Dracula,7,128
happy anger,55,5.59574468085106,1.38297872340426,0.914893617021277,0.0425531914893617,9.62857406982659,9.62857406982659,2,1,Dances with Wolves,9,129
happy sad,74,4.87234042553191,1.38297872340426,0.872340425531915,0.0425531914893617,9.59808866552468,9.59808866552468,2,3,Shine,10,130
anger sad,9,4.13432835820895,1.37313432835821,0.805970149253731,0.0746268656716418,9.5433388552819,9.5433388552819,1,3,The Untouchables,6,131
happy anger,74,4.87234042553191,1.31914893617021,0.872340425531915,0.0425531914893617,9.5130227362356,9.5130227362356,2,1,Shine,10,132
tender sad,43,5.73134328358209,2.01492537313433,0.805970149253731,0.0895522388059701,9.50791422952835,9.50791422952835,4,3,Dances with Wolves,7,133
tender happy,106,6.57446808510638,3.12765957446809,0.872340425531915,0.0638297872340425,9.48315739276092,9.48315739276092,4,2,Lethal weapon 3,7,134
happy anger,80,4,1.06382978723404,0.829787234042553,0,9.35867955554603,9.35867955554603,2,1,Oliwer Twist,10,135
anger tender,20,4.17910447761194,1.05970149253731,0.73134328358209,0.0149253731343284,9.28562403577165,9.28562403577165,1,4,Man of Galilee CD1,6,136
sad tender,32,5.14925373134328,1.94029850746269,0.805970149253731,0.0597014925373134,9.27714958383298,9.27714958383298,3,4,Running Scared,7,137
anger sad,93,5.51063829787234,1.51063829787234,0.829787234042553,0.0212765957446809,9.23049134354991,9.23049134354991,1,3,Babylon 5,6,138
anger sad,4,5.41791044776119,2.1044776119403,0.776119402985075,0.0746268656716418,9.19334491968203,9.19334491968203,1,3,Cape Fear,7,139
sad tender,88,5.65957446808511,2.31914893617021,0.872340425531915,0.0851063829787234,9.17544242468687,9.17544242468687,3,4,Blanc,8,140
anger happy,7,4.64179104477612,1.49253731343284,0.761194029850746,0.0746268656716418,9.12672061266401,9.12672061266401,1,2,Batman Returns,7,141
anger sad,18,4.41791044776119,1.44776119402985,0.746268656716418,0.0746268656716418,8.92310619480529,8.92310619480529,1,3,The Fifth Element,7,142
sad happy,46,4.80597014925373,1.56716417910448,0.835820895522388,0.119402985074627,8.91089427560481,8.91089427560481,3,2,Batman,8,143
happy anger,59,4.31914893617021,1.1063829787234,0.829787234042553,0.0212765957446809,8.83529115269569,8.83529115269569,2,1,Vertigo OST,10,144
happy sad,56,5.1063829787234,1.72340425531915,0.872340425531915,0.0638297872340425,8.83333333333333,8.83333333333333,2,3,Man of Galilee CD1,11,145
tender sad,49,5.11940298507463,2.22388059701493,0.82089552238806,0.134328358208955,8.76782307449856,8.76782307449856,4,3,Juha,8,146
sad happy,40,5.32835820895522,2.08955223880597,0.82089552238806,0.104477611940299,8.74769876667646,8.74769876667646,3,2,The English Patient,8,147
sad tender,35,5.73134328358209,2.7910447761194,0.791044776119403,0.0895522388059701,8.67702880738345,8.67702880738345,3,4,Man of Galilee CD1,8,148
tender happy,41,6.65671641791045,3.71641791044776,0.850746268656716,0.119402985074627,8.59282652143975,8.59282652143975,4,2,Shine,8,149
happy sad,77,4.53191489361702,1.5531914893617,0.872340425531915,0.0212765957446809,8.54078356000023,8.54078356000023,2,3,Lethal weapon 3,11,150
sad tender,81,6.38297872340426,3.14893617021277,0.851063829787234,0.106382978723404,8.50746783651729,8.50746783651729,3,4,Juha,8,151
sad tender,34,6.11940298507463,3.14925373134328,0.82089552238806,0.134328358208955,8.40701051812187,8.40701051812187,3,4,Big Fish,8,152
tender anger,83,4.25531914893617,1,0.74468085106383,0,8.34575443422139,8.34575443422139,4,1,Big Fish,8,153
sad anger,35,5.73134328358209,2.38805970149254,0.776119402985075,0.149253731343284,8.30216513738717,8.30216513738717,3,1,Man of Galilee CD1,8,154
anger tender,6,3.26865671641791,1.11940298507463,0.701492537313433,0.0447761194029851,8.27217021101476,8.27217021101476,1,4,Crouching Tiger jne.,7,155
happy tender,77,4.53191489361702,1.82978723404255,0.851063829787234,0.0638297872340425,8.25180752681606,8.25180752681606,2,4,Lethal weapon 3,11,156
tender happy,44,5.47761194029851,2.85074626865672,0.805970149253731,0.0895522388059701,8.2011813925626,8.2011813925626,4,2,Pride & Prejudice,8,157
sad tender,89,4.93617021276596,2.12765957446809,0.787234042553192,0.0425531914893617,8.14148782569121,8.14148782569121,3,4,Blanc,9,158
sad tender,99,4.8936170212766,1.82978723404255,0.851063829787234,0.0425531914893617,8.13314991873104,8.13314991873104,3,4,Dracula,9,159
